pid,stage,projectname,keywords,country,location,sector,subsector,totalbudget,financialstructure,eststart,estcompletion,developer,sponsor,lat,lng,geocode
2130,planning,Driftwood LNG,"Driftwood, LNG, LA",United States,"Lake Charles, LA",Energy,Generation — Natural Gas,17300,Private,1111-11-11,2024-06-01,,Tellurian LNG LLC,30.226595,-93.217376,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Lake Charles, LA United States""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Lake Charles"",""adminArea5Type"":""City"",""adminArea4"":""Calcasieu Parish"",""adminArea4Type"":""County"",""adminArea3"":""LA"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":30.226595,""lng"":-93.217376},""displayLatLng"":{""lat"":30.226595,""lng"":-93.217376}}]}]}"
3619,planning,Waterway Village Multimodal Access Project,"alabama,transport,highways,AL",United States,"Baldwin, Alabama",Transport,Highways,23,,2020-06-01,2022-06-01,,City of Gulf Shores,30.567753,-87.732439,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Baldwin, Alabama""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":"""",""adminArea5Type"":""City"",""adminArea4"":""Baldwin County"",""adminArea4Type"":""County"",""adminArea3"":""AL"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A4XXX"",""geocodeQuality"":""COUNTY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":30.567753,""lng"":-87.732439},""displayLatLng"":{""lat"":30.567753,""lng"":-87.732439}}]}]}"
1894,planning,Mid Currituck Bridge,"bridge, North Carolina, USA, Outer banks,NC",United States,Aydlett,Transport,Bridges,531,PPP,2022-03-01,2025-08-01,,NC DOT,36.325992,-75.906864,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Aydlett United States""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Aydlett"",""adminArea5Type"":""City"",""adminArea4"":""Currituck County"",""adminArea4Type"":""County"",""adminArea3"":""NC"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""27916"",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":36.325992,""lng"":-75.906864},""displayLatLng"":{""lat"":36.325992,""lng"":-75.906864}}]}]}"
3892,planning,Maryland Parkway BRT,"BRT,NV,las vegas",United States,"Paradise, NV, US",Transport,Transit,345,Public,2022-06-01,2024-12-01,,Regional Transportation Commission of Southern Nevada (RTC),36.08406638291680,-115.13980865478500,"{""info"":{""statuscode"":0,""copyright"":{""text"":""© 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""© 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""latLng"":{""lat"":36.08406638291679,""lng"":-115.13980865478517}},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Paradise"",""adminArea5Type"":""City"",""adminArea4"":"""",""adminArea4Type"":""County"",""adminArea3"":""NV"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""89119"",""geocodeQualityCode"":""P1AAA"",""geocodeQuality"":""POINT"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":36.083073,""lng"":-115.139411},""displayLatLng"":{""lat"":36.083073,""lng"":-115.139411}}]}]}"
144,conceptual,Brent Spence Bridge Replacement/Rehabilitation,"Bridge, Stimulus, Kentucky, Ohio, KY, OH",United States,"Covington, Kentucky",Transport,Bridges,2700,PPP,1111-11-11,1111-11-11,,Ohio & Kentucky DOTs,39.083622,-84.508371,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Covington, Kentucky United States""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Covington"",""adminArea5Type"":""City"",""adminArea4"":""Kenton County"",""adminArea4Type"":""County"",""adminArea3"":""KY"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":39.083622,""lng"":-84.508371},""displayLatLng"":{""lat"":39.083622,""lng"":-84.508371}}]}]}"
3768,procurement,UPenn 220MW Solar Farm,"solar,energy,university of pennsylvania,PA",United States,University of Pennsylvania,Energy,Generation — Renewables,250,Private,2021-09-01,2022-12-01,Community Energy,University of Pennsylvania,39.949234,-75.19199,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""University of Pennsylvania""},""locations"":[{""street"":""3260 South Street"",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Philadelphia"",""adminArea5Type"":""City"",""adminArea4"":""Philadelphia County"",""adminArea4Type"":""County"",""adminArea3"":""PA"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""19104"",""geocodeQualityCode"":""P1XXX"",""geocodeQuality"":""POINT"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":39.949234,""lng"":-75.19199},""displayLatLng"":{""lat"":39.949234,""lng"":-75.19199}}]}]}"
3458,planning,Oregon Passenger Rail Improvement: Eugene - Portland,"rail,oregon,States Top 5 Oregon,OR",United States,Portland,Transport,Transit,950,Public,2021-06-01,1111-11-11,,Oregon DOT; FRA,45.520247,-122.674195,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Portland""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Portland"",""adminArea5Type"":""City"",""adminArea4"":""Multnomah County"",""adminArea4Type"":""County"",""adminArea3"":""OR"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":45.520247,""lng"":-122.674195},""displayLatLng"":{""lat"":45.520247,""lng"":-122.674195}}]}]}"
3726,procurement,The Oceti Sakowin Power Project,"wind,renewables,energy,SD",United States,"Thunder Butte, SD",Energy,Generation — Renewables,850,Private,2020-06-01,2021-06-01,Apex Clean Energy,The Oceti Sakowin Power Authority,45.319978,-101.880704,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Thunder Butte, SD""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":"""",""adminArea5Type"":""City"",""adminArea4"":""Ziebach County"",""adminArea4Type"":""County"",""adminArea3"":""SD"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XXX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":45.319978,""lng"":-101.880704},""displayLatLng"":{""lat"":45.319978,""lng"":-101.880704}}]}]}"
3397,procurement,Soo Locks Modernization Project,"dredging,lock,soo locks,michigan,MI",United States,"International Bridge, Sault Ste. Marie, MI, US",Transport,Ports & Logistics,922,Public,2020-05-01,2030-05-01,Phase 1: Trade West Construction,US Army Corps of Engineers,46.50666334661660,-84.36109542846680,"{""info"":{""statuscode"":0,""copyright"":{""text"":""© 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""© 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""latLng"":{""lat"":46.50666334661664,""lng"":-84.36109542846681}},""locations"":[{""street"":""International Bridge"",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Sault Ste. Marie"",""adminArea5Type"":""City"",""adminArea4"":"""",""adminArea4Type"":""County"",""adminArea3"":""MI"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""49783"",""geocodeQualityCode"":""B1AAA"",""geocodeQuality"":""STREET"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":46.506776,""lng"":-84.361385},""displayLatLng"":{""lat"":46.506776,""lng"":-84.361385}}]}]}"
3693,procurement,Nebraska Department of Transportation’s 2020 Program,"highway,NE",United States,"North Platte, NE",Transport,Highways,728,PPP,2020-01-01,2020-12-01,,NE DOT,41.123887,-100.765423,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""North Platte, NE""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""North Platte"",""adminArea5Type"":""City"",""adminArea4"":""Lincoln County"",""adminArea4Type"":""County"",""adminArea3"":""NE"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""69101"",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":41.123887,""lng"":-100.765423},""displayLatLng"":{""lat"":41.123887,""lng"":-100.765423}}]}]}"
3602,feasibility,Interconnecting Gulfport,"gulfport,interconnecting,mississippi,MS",United States,"Gulfport, Mississippi",Transport,Highways,33,Public,2020-06-01,2022-06-01,,City of Gulfport,30.36742,-89.092815,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Gulfport, Mississippi""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Gulfport"",""adminArea5Type"":""City"",""adminArea4"":""Harrison County"",""adminArea4Type"":""County"",""adminArea3"":""MS"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":30.36742,""lng"":-89.092815},""displayLatLng"":{""lat"":30.36742,""lng"":-89.092815}}]}]}"
